DateTime,Open,High,Low,Close,Volume,OpenInterest
2015-05-26,78.31000,84.14000,77.76000,81.94000,0,0
2015-05-27,80.86000,81.58000,76.89000,77.79000,0,0
2015-05-28,78.83000,80.20000,77.34000,77.34000,0,0
2015-05-29,78.94000,80.62000,77.38000,79.06000,0,0
2015-06-01,79.01000,80.79000,78.12000,78.89000,0,0
2015-06-02,80.47000,81.72000,78.45000,80.61000,0,0
2015-06-03,79.42000,80.51000,78.36000,79.27000,0,0
2015-06-04,80.66000,89.61000,80.58000,87.99000,0,0
2015-06-05,87.85000,89.13000,83.56000,84.10000,0,0
2015-06-08,85.67000,87.33000,85.29000,86.50000,0,0
2015-06-09,86.24000,87.24000,83.55000,84.34000,0,0
2015-06-10,88.33000,88.41000,81.09000,81.59000,0,0
2015-06-11,81.04000,81.37000,77.81000,79.53000,0,0
2015-06-12,80.53000,88.08000,80.03000,85.55000,0,0
2015-06-15,90.32000,97.70000,90.32000,96.12000,0,0
2015-06-16,95.65000,97.42000,94.12000,95.96000,0,0
2015-06-17,94.67000,96.64000,91.13000,93.19000,0,0
2015-06-18,91.44000,91.81000,88.11000,89.20000,0,0
2015-06-19,89.83000,92.98000,88.70000,92.16000,0,0
2015-06-22,89.27000,89.27000,83.22000,83.87000,0,0
2015-06-23,82.57000,84.58000,78.84000,78.84000,0,0
2015-06-24,80.37000,83.26000,78.45000,82.53000,0,0
2015-06-25,80.73000,83.95000,79.06000,83.51000,0,0
2015-06-26,81.51000,85.60000,81.51000,83.09000,0,0
2015-06-29,92.39000,117.60000,91.21000,117.00000,0,0
2015-06-30,108.60000,117.84000,107.87000,110.17000,0,0
2015-07-01,101.10000,105.29000,97.14000,97.60000,0,0
2015-07-02,97.33000,111.79000,97.17000,105.14000,0,0
2015-07-06,110.62000,112.42000,104.57000,105.97000,0,0
2015-07-07,106.85000,114.01000,99.07000,99.35000,0,0
2015-07-08,104.86000,112.26000,104.02000,111.67000,0,0
2015-07-09,106.31000,115.36000,104.67000,115.36000,0,0
2015-07-10,106.85000,109.83000,100.68000,101.19000,0,0
2015-07-13,96.03000,96.11000,85.89000,85.95000,0,0
2015-07-14,86.20000,87.45000,83.91000,87.35000,0,0
2015-07-15,90.13000,93.29000,88.62000,90.81000,0,0
2015-07-16,87.48000,88.25000,84.65000,87.12000,0,0
2015-07-17,86.48000,87.43000,84.91000,85.32000,0,0
2015-07-20,85.74000,86.07000,83.59000,84.38000,0,0
2015-07-21,84.93000,85.71000,82.43000,82.56000,0,0
2015-07-22,84.61000,84.65000,78.22000,78.89000,0,0
2015-07-23,79.23000,84.18000,78.52000,81.64000,0,0
2015-07-24,82.03000,91.86000,82.03000,88.36000,0,0
2015-07-27,94.44000,100.12000,93.78000,97.32000,0,0
2015-07-28,92.35000,95.37000,83.52000,84.77000,0,0
2015-07-29,84.42000,84.68000,82.51000,82.94000,0,0
2015-07-30,83.93000,87.02000,80.51000,80.65000,0,0
2015-07-31,81.70000,82.85000,80.12000,81.77000,0,0
2015-08-03,83.67000,84.57000,78.98000,79.43000,0,0
2015-08-04,80.05000,81.78000,78.94000,80.81000,0,0
2015-08-05,79.01000,80.39000,77.16000,80.09000,0,0
2015-08-06,79.39000,87.28000,79.20000,84.36000,0,0
2015-08-07,83.98000,86.78000,82.36000,82.57000,0,0
2015-08-10,81.81000,81.90000,79.51000,80.20000,0,0
2015-08-11,85.65000,86.87000,83.14000,85.22000,0,0
2015-08-12,94.06000,100.68000,87.89000,88.13000,0,0
2015-08-13,87.36000,89.00000,85.22000,88.36000,0,0
2015-08-14,89.34000,90.68000,87.75000,89.38000,0,0
2015-08-17,91.39000,93.04000,87.07000,87.35000,0,0
2015-08-18,87.52000,89.24000,85.72000,88.84000,0,0
2015-08-19,89.85000,95.13000,85.88000,91.84000,0,0
2015-08-20,96.13000,108.84000,94.28000,108.75000,0,0
2015-08-21,113.27000,138.94000,111.68000,138.57000,0,0
2015-08-24,212.22000,212.22000,148.68000,168.75000,0,0
2015-08-25,146.76000,157.47000,141.69000,152.41000,0,0
2015-08-26,142.97000,147.88000,131.08000,134.31000,0,0
2015-08-27,128.69000,134.72000,121.77000,128.59000,0,0
2015-08-28,130.69000,131.93000,125.63000,127.18000,0,0
2015-08-31,128.27000,128.27000,122.20000,127.28000,0,0
