DateTime,contango,d4,d3,d2,d1,unch,u1,u2,u3,u4,hr_d4,hr_d3,hr_d2,hr_d1,hr_unch,hr_u1,hr_u2,hr_u3,hr_u4
2013-01-08,1.8,0,1,1,1,1,0,0,0,0,0.0,0.2,0.4,0.6,0.6,0.6,0.2,0.2,0.2
2013-01-09,1.7,0,0,0,0,0,1,1,0,0,0.0,0.2,0.4,0.6,0.6,0.6,0.2,0.0,0.0
2013-01-10,1.9,0,0,0,0,1,1,1,0,0,0.0,0.2,0.4,0.4,0.6,0.6,0.4,0.0,0.0
2013-01-11,1.85,0,0,0,1,1,0,0,0,0,0.0,0.2,0.4,0.6,0.6,0.4,0.4,0.0,0.0
2013-01-14,1.85,0,0,1,1,0,0,0,0,0,0.0,0.2,0.4,0.6,0.6,0.4,0.4,0.0,0.0
2013-01-15,1.6,0,0,1,1,1,0,0,0,0,0.0,0.0,0.4,0.6,0.6,0.4,0.4,0.0,0.0
2013-01-16,1.6,0,0,0,1,1,1,0,0,0,0.0,0.0,0.4,0.8,0.8,0.4,0.2,0.0,0.0
2013-01-17,1.3,0,0,0,0,0,1,1,1,1,0.0,0.0,0.4,0.8,0.6,0.4,0.2,0.2,0.2
2013-01-18,1.65,0,0,0,1,1,0,0,0,0,0.0,0.0,0.4,0.8,0.6,0.4,0.2,0.2,0.2
2013-01-22,1.35,0,0,0,1,1,1,1,0,0,0.0,0.0,0.2,0.8,0.8,0.6,0.4,0.2,0.2
2013-01-23,1.35,0,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.8,0.8,0.6,0.4,0.2,0.2
2013-01-24,1.15,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.8,0.8,0.6,0.6,0.2,0.2
2013-01-25,1.05,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.8,1.0,0.6,0.6,0.0,0.0
2013-01-28,0.75,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.8,1.0,0.8,0.6,0.0,0.0
2013-01-29,0.9,0,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.8,1.0,0.8,0.6,0.0,0.0
2013-01-30,0.65,0,0,1,1,1,0,0,0,0,0.0,0.0,0.2,0.8,1.0,0.8,0.6,0.0,0.0
2013-01-31,0.85,0,0,0,1,1,1,0,0,0,0.0,0.0,0.2,0.8,1.0,0.8,0.4,0.0,0.0
2013-02-01,1.1,0,0,0,0,0,1,1,1,1,0.0,0.0,0.2,0.8,0.8,0.8,0.4,0.2,0.2
2013-02-04,0.6,1,1,1,1,0,0,0,0,0,0.2,0.2,0.4,0.8,0.6,0.6,0.4,0.2,0.2
2013-02-05,1.2,0,0,0,0,0,1,1,1,1,0.2,0.2,0.4,0.6,0.4,0.6,0.4,0.4,0.4
2013-02-06,1.2,0,0,1,1,1,0,0,0,0,0.2,0.2,0.4,0.6,0.4,0.6,0.4,0.4,0.4
2013-02-07,1.25,0,1,1,1,1,1,0,0,0,0.2,0.4,0.6,0.6,0.4,0.6,0.4,0.4,0.4
2013-02-08,1.25,0,0,0,0,1,1,1,1,0,0.2,0.4,0.6,0.6,0.6,0.6,0.4,0.4,0.2
2013-02-11,1.45,0,0,0,0,1,0,0,0,0,0.0,0.2,0.4,0.4,0.8,0.6,0.4,0.4,0.2
2013-02-12,1.8,0,0,0,0,1,1,0,0,0,0.0,0.2,0.4,0.4,1.0,0.6,0.2,0.2,0.0
2013-02-13,1.1,0,0,0,1,1,1,0,0,0,0.0,0.2,0.2,0.4,1.0,0.8,0.2,0.2,0.0
2013-02-14,1.2,0,0,1,1,1,0,0,0,0,0.0,0.0,0.2,0.4,1.0,0.6,0.2,0.2,0.0
2013-02-15,1.15,0,0,1,1,1,1,0,0,0,0.0,0.0,0.4,0.6,1.0,0.6,0.0,0.0,0.0
2013-02-19,1.05,0,0,0,0,0,1,1,1,0,0.0,0.0,0.4,0.6,0.8,0.8,0.2,0.2,0.0
2013-02-20,0.6,1,1,1,1,1,0,0,0,0,0.2,0.2,0.6,0.8,0.8,0.6,0.2,0.2,0.0
2013-02-21,0.65,0,1,1,1,0,0,0,0,0,0.2,0.4,0.8,0.8,0.6,0.4,0.2,0.2,0.0
2013-02-22,0.85,0,0,0,0,0,1,1,1,0,0.2,0.4,0.6,0.6,0.4,0.6,0.4,0.4,0.0
2013-02-25,-0.15,1,1,1,1,1,1,1,0,0,0.4,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.0
2013-02-26,0.3,0,0,0,1,1,1,1,0,0,0.4,0.6,0.6,0.8,0.6,0.6,0.6,0.2,0.0
2013-02-27,0.7,0,0,0,0,1,1,1,1,1,0.2,0.4,0.4,0.6,0.6,0.8,0.8,0.4,0.2
2013-02-28,0.55,0,0,0,0,1,1,1,0,0,0.2,0.2,0.2,0.4,0.8,1.0,1.0,0.4,0.2
2013-03-01,0.55,0,1,1,1,1,1,0,0,0,0.2,0.4,0.4,0.6,1.0,1.0,0.8,0.2,0.2
2013-03-04,0.85,0,0,0,1,1,1,0,0,0,0.0,0.2,0.2,0.6,1.0,1.0,0.6,0.2,0.2
2013-03-05,1.0,0,0,0,0,0,1,1,1,1,0.0,0.2,0.2,0.4,0.8,1.0,0.6,0.4,0.4
2013-03-06,0.85,0,0,0,0,0,1,1,0,0,0.0,0.2,0.2,0.4,0.6,1.0,0.6,0.2,0.2
2013-03-07,1.05,0,0,0,0,1,0,0,0,0,0.0,0.2,0.2,0.4,0.6,0.8,0.4,0.2,0.2
